Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,HV
0.125,0,0,0,0,0,0,0,0.176,0,0.18,0,0.174,0,0,0.176,0.169,0,429
0.162162162,0,0,0,0,0,0,0,0.174174174,0,0.166166166,0,0.169169169,0,0,0.164164164,0.164164164,0,443
0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0,0,0,440.7
0.0588,0,0,0,0,0,0,0.2353,0.2353,0,0,0.2353,0.2353,0,0,0,0,0,460.1
0.111111111,0,0,0,0,0,0,0.222222222,0.222222222,0,0,0.222222222,0.222222222,0,0,0,0,0,486.5
0.157915792,0,0,0,0,0,0,0.210521052,0.210521052,0,0,0.210521052,0.210521052,0,0,0,0,0,516.6
0.2,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.2,0,0,0,0,0,536.6
0.272727273,0,0,0,0,0,0,0.181818182,0.181818182,0,0,0.181818182,0.181818182,0,0,0,0,0,556.4
0.266,0,0,0,0,0,0,0,0.251,0,0,0.245,0.238,0,0,0,0,0,440
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,387.5
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,392.6
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,389.5
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,393.6
0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0,0,0,0.2,0,388.5
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,464
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,466
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,479.2
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,489.4
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0,458.9
0,0,0,0,0,0,0,0,0.197,0,0.2123,0,0.1893,0,0,0.1968,0.2046,0,390.5
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,454.8
0,0,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0.2,0,0.2,535.3
0,0,0,0,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0.166666667,0,0,0.166666667,0.166666667,0,505
0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0.2,0.2,0,542
0,0,0,0,0.090909091,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0.181818182,0,464
0,0,0,0,0.090909091,0,0,0,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0,0,0.181818182,0,496
0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,335
0,0,0,0,0,0,0,0,0.2,0,0.2,0.4,0.2,0,0,0,0,0,304.6
0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0,418
0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0,0,0,0,0,481.3
0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0.2,0,0.2,446.6
0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0.25,492.5
0,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,240
0,0.2381,0.2381,0.2381,0,0,0,0.0476,0,0,0,0.2381,0,0,0,0,0,0,268.7
0,0.227277272,0.227277272,0.227277272,0,0,0,0.090890911,0,0,0,0.227277272,0,0,0,0,0,0,404
0,0.2174,0.2174,0.2174,0,0,0,0.1304,0,0,0,0.2174,0,0,0,0,0,0,557
0,0.208320832,0.208320832,0.208320832,0,0,0,0.166716672,0,0,0,0.208320832,0,0,0,0,0,0,606
0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,625
0,0.1923,0.1923,0.1923,0,0,0,0.2308,0,0,0,0.1923,0,0,0,0,0,0,602
0,0.185181482,0.185181482,0.185181482,0,0,0,0.259274073,0,0,0,0.185181482,0,0,0,0,0,0,539
0,0.178582142,0.178582142,0.178582142,0,0,0,0.285671433,0,0,0,0.178582142,0,0,0,0,0,0,521
0,0.172417242,0.172417242,0.172417242,0,0,0,0.310331033,0,0,0,0.172417242,0,0,0,0,0,0,510
0,0.166683332,0.166683332,0.166683332,0,0,0,0.333266673,0,0,0,0.166683332,0,0,0,0,0,0,382.8
0.0172,0,0,0.3276,0,0.3276,0,0,0,0.3276,0,0,0,0,0,0,0,0,166
0.03570357,0,0,0.321432143,0,0.321432143,0,0,0,0.321432143,0,0,0,0,0,0,0,0,241
0.0769,0,0,0.3077,0,0.3077,0,0,0,0.3077,0,0,0,0,0,0,0,0,346
0.1,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,377
0.124987501,0,0,0.291670833,0,0.291670833,0,0,0,0.291670833,0,0,0,0,0,0,0,0,355
0.181818182,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0,0,0,0,0,395
0.0172,0,0,0.3276,0,0.3276,0,0,0,0.3276,0,0,0,0,0,0,0,0,174
0.03570357,0,0,0.321432143,0,0.321432143,0,0,0,0.321432143,0,0,0,0,0,0,0,0,220
0.0769,0,0,0.3077,0,0.3077,0,0,0,0.3077,0,0,0,0,0,0,0,0,355
0.1,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,373
0.124987501,0,0,0.291670833,0,0.291670833,0,0,0,0.291670833,0,0,0,0,0,0,0,0,359
0.181818182,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0,0,0,0,0,398
0,0,0,0.3276,0,0.3276,0,0,0,0.3276,0,0,0,0.0172,0,0,0,0,205
0,0,0,0.321432143,0,0.321432143,0,0,0,0.321432143,0,0,0,0.03570357,0,0,0,0,318
0,0,0,0.3077,0,0.3077,0,0,0,0.3077,0,0,0,0.0769,0,0,0,0,402
0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0.1,0,0,0,0,467
0,0,0,0.3276,0,0.3276,0,0,0,0.3276,0,0,0,0.0172,0,0,0,0,178
0,0,0,0.321432143,0,0.321432143,0,0,0,0.321432143,0,0,0,0.03570357,0,0,0,0,255
0,0,0,0.3077,0,0.3077,0,0,0,0.3077,0,0,0,0.0769,0,0,0,0,533
0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0.1,0,0,0,0,507
0,0,0,0.3077,0,0.3077,0,0,0,0.3077,0,0,0,0,0.0769,0,0,0,109
0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0.1,0,0,0,147
0,0,0,0.2826,0,0.2826,0,0,0,0.2826,0,0,0,0,0.1522,0,0,0,246
0,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0,0.181818182,0,0,0,268
0,0,0,0.3077,0,0.3077,0,0,0,0.3077,0,0,0,0,0.0769,0,0,0,113
0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0.1,0,0,0,128
0,0,0,0.2826,0,0.2826,0,0,0,0.2826,0,0,0,0,0.1522,0,0,0,242
0,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0,0.181818182,0,0,0,253
0.0179,0,0,0.3214,0,0.3214,0,0,0,0.3214,0,0,0,0.0179,0,0,0,0,297
0.02,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0.08,0,0,0,233
0.02270227,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0,0.159115912,0,0,0,295
0.03849615,0,0,0.307669233,0,0.307669233,0,0,0,0.307669233,0,0,0,0,0.03849615,0,0,0,257
0.04169583,0,0,0.291670833,0,0.291670833,0,0,0,0.291670833,0,0,0,0,0.083291671,0,0,0,228
0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0.02,0.08,0,0,0,278
0,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0.02270227,0.159115912,0,0,0,362
0,0,0,0.0588,0,0.4118,0,0,0,0.4118,0,0,0,0,0.1176,0,0,0,345
0.0179,0,0,0.3214,0,0.3214,0,0,0,0.3214,0,0,0,0.0179,0,0,0,0,303
0.02,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,0.08,0,0,0,271
0.02270227,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0,0.159115912,0,0,0,281
0.03849615,0,0,0.307669233,0,0.307669233,0,0,0,0.307669233,0,0,0,0,0.03849615,0,0,0,321
0.04169583,0,0,0.291670833,0,0.291670833,0,0,0,0.291670833,0,0,0,0,0.083291671,0,0,0,306
0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0.02,0.08,0,0,0,286
0,0,0,0.272727273,0,0.272727273,0,0,0,0.272727273,0,0,0,0.02270227,0.159115912,0,0,0,376
0,0,0,0.0588,0,0.4118,0,0,0,0.4118,0,0,0,0,0.1176,0,0,0,372
0,0.333333333,0,0.333333333,0,0,0,0.083308331,0,0,0,0.166716672,0,0,0,0,0,0.083308331,376
0,0.322567743,0,0.322567743,0,0,0,0.096790321,0,0,0,0.161283872,0,0,0,0,0,0.096790321,560
0,0.303030303,0,0.303030303,0,0,0,0.121212121,0,0,0,0.151515152,0,0,0,0,0,0.121212121,577
0,0.285671433,0,0.285671433,0,0,0,0.142885711,0,0,0,0.142885711,0,0,0,0,0,0.142885711,510
0,0.25,0,0.25,0,0,0,0.1875,0,0,0,0.125,0,0,0,0,0,0.1875,583
0,0.2353,0,0.2353,0,0,0,0.2059,0,0,0,0.1176,0,0,0,0,0,0.2059,667
0,0.222222222,0.222222222,0.444444444,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,133.7
0,0.212778722,0.212778722,0.425457454,0,0,0,0,0,0,0,0.106389361,0.04259574,0,0,0,0,0,293
0,0.2041,0.2041,0.4082,0,0,0,0,0,0,0,0.102,0.0816,0,0,0,0,0,360
0,0.1961,0.1961,0.3922,0,0,0,0,0,0,0,0.098,0.1176,0,0,0,0,0,498
0,0.1942,0.1942,0.3883,0,0,0,0,0,0,0,0.0971,0.1262,0,0,0,0,0,538.6
0,0.1923,0.1923,0.3846,0,0,0,0,0,0,0,0.0962,0.1346,0,0,0,0,0,574
0,0.190480952,0.190480952,0.380961904,0,0,0,0,0,0,0,0.095190481,0.142885711,0,0,0,0,0,640
0,0.1887,0.1887,0.3774,0,0,0,0,0,0,0,0.0943,0.1509,0,0,0,0,0,617
0,0.181818182,0.181818182,0.363636364,0,0,0,0,0,0,0,0.090909091,0.181818182,0,0,0,0,0,687
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,141
0,0.2439,0.2439,0.2439,0,0,0.2439,0,0,0,0,0,0,0,0,0.0244,0,0,180
0,0.2381,0.2381,0.2381,0,0,0.2381,0,0,0,0,0,0,0,0,0.0476,0,0,277
0,0.232553489,0.232553489,0.232553489,0,0,0.232553489,0,0,0,0,0,0,0,0,0.069786043,0,0,365
0,0.227277272,0.227277272,0.227277272,0,0,0.227277272,0,0,0,0,0,0,0,0,0.090890911,0,0,492
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0,0,0,0,0,0,0.111111111,0,0,498
0,0.210521052,0.210521052,0.210521052,0,0,0.210521052,0,0,0,0,0,0,0,0,0.157915792,0,0,550
0,0.2439,0.2439,0.2439,0,0,0.2439,0,0,0,0.0244,0,0,0,0,0,0,0,190.07
0,0.2381,0.2381,0.2381,0,0,0.2381,0,0,0,0.0476,0,0,0,0,0,0,0,212
0,0.232553489,0.232553489,0.232553489,0,0,0.232553489,0,0,0,0.069786043,0,0,0,0,0,0,0,251
0,0.216455576,0.216455576,0.264070089,0,0,0.216455576,0,0,0,0.086563184,0,0,0,0,0,0,0,308
0,0.222222222,0.222222222,0.222222222,0,0,0.222222222,0,0,0,0.111111111,0,0,0,0,0,0,0,527
0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,527
0,0.2439,0.2439,0.2439,0,0,0.2439,0,0,0,0,0,0,0,0,0,0.0244,0,212.1
0,0.2381,0.2381,0.2381,0,0,0.2381,0,0,0,0,0,0,0,0,0,0.0476,0,334
0,0.232553489,0.232553489,0.232553489,0,0,0.232553489,0,0,0,0,0,0,0,0,0,0.069786043,0,419.7
0,0.227277272,0.227277272,0.227277272,0,0,0.227277272,0,0,0,0,0,0,0,0,0,0.090890911,0,567
0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,156.6
0.2381,0,0.2381,0.2381,0,0,0.2381,0,0.0476,0,0,0,0,0,0,0,0,0,643
0.1923,0.1923,0.1923,0.1923,0,0,0.1923,0,0,0,0,0.0385,0,0,0,0,0,0,557.6
0.181818182,0.181818182,0.181818182,0.181818182,0,0,0.181818182,0,0,0,0,0.090909091,0,0,0,0,0,0,591.3
0.172417242,0.172417242,0.172417242,0.172417242,0,0,0.172417242,0,0,0,0,0.137913791,0,0,0,0,0,0,624.8
